Name,Games Played,Team,League,Position,Season,Age,Goals,Assists,Points,+/-,PIM,EV Goals,PP Goals,SH Goals,GW Goals,Shots,S%,TOI,Goals Per Game,Assists Per Game,Points Per Game,Shots Per Game,OPS,DPS,Point Shares
Petteri Lindbohm,7,STL,NHL,D,2016-17,23,0,0,0,-4,4,0,0,0,0,10,0,91,0,0,0,1.43,-0.1,-0.1,-0.2
Max McCormick,7,OTT,NHL,RW,2016-17,24,0,0,0,-3,0,0,0,0,0,7,0,47,0,0,0,1,-0.1,-0.1,-0.2
Hunter Shinkaruk,7,CGY,NHL,LW,2016-17,22,0,1,1,-3,2,0,0,0,0,5,0,74,0,0.14,0.14,0.71,-0.1,0,-0.1
Dylan Strome,7,ARI,NHL,C,2016-17,19,0,1,1,-5,0,0,0,0,0,6,0,96,0,0.14,0.14,0.86,-0.2,-0.1,-0.3
Phil Varone,7,OTT,NHL,C,2016-17,26,0,0,0,-3,2,0,0,0,0,1,0,56,0,0,0,0.14,-0.2,-0.1,-0.2
David Warsofsky,7,PIT,NHL,D,2016-17,26,0,1,1,-3,6,0,0,0,0,14,0,110,0,0.14,0.14,2,0,-0.1,-0.1
Gabriel Bourque,6,COL,NHL,LW,2016-17,26,0,0,0,0,0,0,0,0,0,4,0,67,0,0,0,0.67,-0.2,0.1,-0.1
Jonny Brodzinski,6,LAK,NHL,C,2016-17,23,0,2,2,2,2,0,0,0,0,17,0,74,0,0.33,0.33,2.83,0,0.2,0.2
Paul Carey,6,WSH,NHL,C,2016-17,28,0,0,0,-2,0,0,0,0,0,8,0,63,0,0,0,1.33,-0.2,0,-0.2
Matt Carle,6,NSH,NHL,D,2016-17,32,0,1,1,-1,0,0,0,0,0,2,0,79,0,0.17,0.17,0.33,0,0.1,0.1
Byron Froese,6,TOT,NHL,C,2016-17,25,0,0,0,-3,5,0,0,0,0,6,0,63,0,0,0,1,-0.2,-0.1,-0.2
Ben Harpur,6,OTT,NHL,D,2016-17,22,0,0,0,-1,0,0,0,0,0,3,0,107,0,0,0,0.5,-0.1,0.2,0
Tyson Jost,6,COL,NHL,C,2016-17,18,1,0,1,-5,0,1,0,0,0,9,11.1,94,0.17,0,0.17,1.5,0,-0.1,-0.1
Dylan McIlrath,6,TOT,NHL,D,2016-17,24,1,0,1,-2,14,1,0,0,0,3,33.3,57,0.17,0,0.17,0.5,0.1,0,0.1
Ben Street,6,DET,NHL,C,2016-17,29,0,1,1,1,0,0,0,0,0,8,0,50,0,0.17,0.17,1.33,0,0.1,0.1
Alex Tuch,6,MIN,NHL,RW,2016-17,20,0,0,0,-3,0,0,0,0,0,8,0,64,0,0,0,1.33,-0.2,-0.1,-0.3
Brady Austin,5,BUF,NHL,D,2016-17,23,0,0,0,0,4,0,0,0,0,8,0,80,0,0,0,1.6,-0.1,0.2,0.1
Taylor Beck,5,TOT,NHL,LW,2016-17,25,0,0,0,-3,4,0,0,0,0,5,0,44,0,0,0,1,-0.1,-0.1,-0.2
Christoph Bertschy,5,MIN,NHL,C,2016-17,22,0,1,1,0,4,0,0,0,0,5,0,41,0,0.2,0.2,1,0,0,0
Andreas Englund,5,OTT,NHL,D,2016-17,21,0,0,0,-3,2,0,0,0,0,3,0,53,0,0,0,0.6,-0.1,-0.1,-0.2
A.J. Greer,5,COL,NHL,LW,2016-17,20,0,1,1,-2,4,0,0,0,0,8,0,68,0,0.2,0.2,1.6,-0.1,0,-0.1
Quinton Howden,5,WPG,NHL,C,2016-17,25,0,0,0,1,0,0,0,0,0,5,0,43,0,0,0,1,-0.1,0.1,0
Michael Kapla,5,NJD,NHL,D,2016-17,22,0,0,0,-1,0,0,0,0,0,4,0,87,0,0,0,0.8,-0.1,0.1,0
Brian Lashoff,5,DET,NHL,D,2016-17,26,0,0,0,-3,0,0,0,0,0,1,0,63,0,0,0,0.2,-0.1,-0.1,-0.2
Milan Michalek,5,TOR,NHL,LW,2016-17,32,1,1,2,-2,2,1,0,0,0,6,16.7,71,0.2,0.2,0.4,1.2,0.1,0,0.1
Griffen Molino,5,VAN,NHL,C,2016-17,23,0,0,0,-2,0,0,0,0,0,3,0,53,0,0,0,0.6,-0.1,0,-0.2
Miikka Salomaki,5,NSH,NHL,RW,2016-17,23,0,0,0,-1,2,0,0,0,0,3,0,61,0,0,0,0.6,-0.2,0,-0.1
Nick Sorensen,5,ANA,NHL,RW,2016-17,22,0,1,1,-1,2,0,0,0,0,7,0,54,0,0.2,0.2,1.4,0,0,0
Brian Strait,5,WPG,NHL,D,2016-17,29,0,2,2,-1,0,0,0,0,0,3,0,80,0,0.4,0.4,0.6,0.1,0,0.2
Mitch Callahan,4,DET,NHL,RW,2016-17,25,0,0,0,0,0,0,0,0,0,2,0,27,0,0,0,0.5,-0.1,0,0
Frank Corrado,4,TOT,NHL,D,2016-17,23,0,0,0,-1,8,0,0,0,0,3,0,43,0,0,0,0.75,-0.1,0,-0.1
Mark Fayne,4,EDM,NHL,D,2016-17,29,0,2,2,1,0,0,0,0,0,4,0,32,0,0.5,0.5,1,0.2,0.1,0.3
Tyler Gaudet,4,ARI,NHL,C,2016-17,23,0,1,1,0,0,0,0,0,0,3,0,52,0,0.25,0.25,0.75,0,0.1,0
Rocco Grimaldi,4,COL,NHL,C,2016-17,23,0,1,1,-3,2,0,0,0,0,11,0,44,0,0.25,0.25,2.75,0,-0.1,-0.1
Connor Jones,4,NYI,NHL,C,2016-17,26,0,0,0,1,2,0,0,0,0,2,0,47,0,0,0,0.5,-0.1,0.1,0
Jacob Larsson,4,ANA,NHL,D,2016-17,19,0,0,0,-1,2,0,0,0,0,2,0,66,0,0,0,0.5,-0.1,0.1,0
Clarke MacArthur,4,OTT,NHL,LW,2016-17,31,0,0,0,-1,0,0,0,0,0,5,0,54,0,0,0,1.25,-0.2,0,-0.1
Sonny Milano,4,CBJ,NHL,LW,2016-17,20,0,0,0,-3,0,0,0,0,0,2,0,47,0,0,0,0.5,-0.1,-0.1,-0.2
Mirco Mueller,4,SJS,NHL,D,2016-17,21,1,1,2,2,0,1,0,0,0,3,33.3,38,0.25,0.25,0.5,0.75,0.3,0.3,0.5
Alexander Nylander,4,BUF,NHL,RW,2016-17,18,0,1,1,-2,0,0,0,0,0,4,0,49,0,0.25,0.25,1,0,0,0
Adam Pardy,4,NSH,NHL,D,2016-17,32,0,0,0,-1,6,0,0,0,0,4,0,44,0,0,0,1,-0.1,0,-0.1
Mason Raymond,4,ANA,NHL,LW,2016-17,31,0,0,0,-2,0,0,0,0,0,3,0,36,0,0,0,0.75,-0.1,0,-0.1
